ID,year,wave,state,area,juristiction,depth.allowed,species,start.date,end.date,defaults.fed,daily.closures,bag.limit,agg.bag.limit,agg.bag.limit.wt,boat.limit,poss.limit,bonus.limit,min.size,min.size2,max.size,max.size2,bag.above.max,bag.above.max2,bag.below.min,mode,gear.restriction,other,comments,imputed
,1996,1,ME,9999,1,9999,Atlantic_Cod,1/1/1996,2/29/1996,0,9999,9999,9999,9999,,9999,,19,9999,9999,9999,9999,9999,9999,0,0,0,,0
,1996,2,ME,9999,1,9999,Atlantic_Cod,3/1/1996,4/30/1996,0,9999,9999,9999,9999,,9999,,19,9999,9999,9999,9999,9999,9999,0,0,0,,0
,1996,3,ME,9999,1,9999,Atlantic_Cod,5/1/1996,6/30/1996,0,9999,9999,9999,9999,,9999,,19,9999,9999,9999,9999,9999,9999,0,0,0,,0
,1996,4,ME,9999,1,9999,Atlantic_Cod,7/1/1996,8/31/1996,0,9999,9999,9999,9999,,9999,,19,9999,9999,9999,9999,9999,9999,0,0,0,,0
,1996,5,ME,9999,1,9999,Atlantic_Cod,9/1/1996,10/31/1996,0,9999,9999,9999,9999,,9999,,19,9999,9999,9999,9999,9999,9999,0,0,0,,0
,1996,6,ME,9999,1,9999,Atlantic_Cod,11/1/1996,12/31/1996,0,9999,9999,9999,9999,,9999,,19,9999,9999,9999,9999,9999,9999,0,0,0,,0
,1997,1,ME,9999,1,9999,Atlantic_Cod,1/1/1997,2/28/1997,0,9999,9999,9999,9999,,9999,,19,9999,9999,9999,9999,9999,9999,0,0,0,,0
,1997,2,ME,9999,1,9999,Atlantic_Cod,3/1/1997,4/30/1997,0,9999,9999,9999,9999,,9999,,19,9999,9999,9999,9999,9999,9999,0,0,0,,0
,1997,3,ME,9999,1,9999,Atlantic_Cod,5/1/1997,6/30/1997,0,9999,9999,9999,9999,,9999,,19,9999,9999,9999,9999,9999,9999,0,0,0,,0
,1997,4,ME,9999,1,9999,Atlantic_Cod,7/1/1997,8/25/1997,0,9999,9999,9999,9999,,9999,,19,9999,9999,9999,9999,9999,9999,0,0,0,,0
,1997,4,ME,9999,1,9999,Atlantic_Cod,8/26/1997,8/31/1997,0,9999,,10,9999,,9999,,21,9999,9999,9999,9999,9999,9999,0,0,0,,0
,1997,5,ME,9999,1,9999,Atlantic_Cod,9/1/1997,10/31/1997,0,9999,,10,9999,,9999,,21,9999,9999,9999,9999,9999,9999,0,0,0,,0
,1997,6,ME,9999,1,9999,Atlantic_Cod,11/1/1997,12/31/1997,0,9999,,10,9999,,9999,,21,9999,9999,9999,9999,9999,9999,0,0,0,,0
,1998,1,ME,9999,1,9999,Atlantic_Cod,1/1/1998,2/28/1998,0,9999,,10,9999,,9999,,21,9999,9999,9999,9999,9999,9999,0,0,0,,0
,1998,2,ME,9999,1,9999,Atlantic_Cod,3/1/1998,4/30/1998,0,9999,,10,9999,,9999,,21,9999,9999,9999,9999,9999,9999,0,0,0,,0
,1998,3,ME,9999,1,9999,Atlantic_Cod,5/1/1998,6/30/1998,0,9999,,10,9999,,9999,,21,9999,9999,9999,9999,9999,9999,0,0,0,,0
,1998,4,ME,9999,1,9999,Atlantic_Cod,7/1/1998,8/31/1998,0,9999,,10,9999,,9999,,21,9999,9999,9999,9999,9999,9999,0,0,0,,0
,1998,5,ME,9999,1,9999,Atlantic_Cod,9/1/1998,10/31/1998,0,9999,,10,9999,,9999,,21,9999,9999,9999,9999,9999,9999,0,0,0,,0
,1998,6,ME,9999,1,9999,Atlantic_Cod,11/1/1998,12/31/1998,0,9999,,10,9999,,9999,,21,9999,9999,9999,9999,9999,9999,0,0,0,,1
,1999,1,ME,9999,1,9999,Atlantic_Cod,1/1/1999,2/28/1999,0,9999,,10,9999,,9999,,21,9999,9999,9999,9999,9999,9999,0,0,0,,1
