ID,year,wave,state,area,juristiction,depth.allowed,species,start.date,end.date,daily.closures,bag.limit,agg.bag.limit,agg.bag.limit.wt,boat.limit,poss.limit,bonus.limit,min.size,min.size2,max.size,max.size2,bag.above.max,bag.above.max2,bag.below.min,mode,gear.restriction,other,comments,imputed
,1996,1,NJ,9999,1,9999,Atlantic_Croaker,01/01/1996,02/29/1996,,9999,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,1
,1996,2,NJ,9999,1,9999,Atlantic_Croaker,03/01/1996,04/30/1996,,9999,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,1
,1996,3,NJ,9999,1,9999,Atlantic_Croaker,05/01/1996,06/30/1996,,9999,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,1
,1996,4,NJ,9999,1,9999,Atlantic_Croaker,07/01/1996,08/31/1996,,9999,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,1
,1996,5,NJ,9999,1,9999,Atlantic_Croaker,09/01/1996,10/31/1996,,9999,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,1
,1996,6,NJ,9999,1,9999,Atlantic_Croaker,11/01/1996,12/31/1996,,9999,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,1
,1997,1,NJ,9999,1,9999,Atlantic_Croaker,01/01/1997,02/28/1997,,9999,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,1
,1997,2,NJ,9999,1,9999,Atlantic_Croaker,03/01/1997,04/30/1997,,9999,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,1
,1997,3,NJ,9999,1,9999,Atlantic_Croaker,05/01/1997,06/30/1997,,9999,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,1
,1997,4,NJ,9999,1,9999,Atlantic_Croaker,07/01/1997,08/31/1997,,9999,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,1
,1997,5,NJ,9999,1,9999,Atlantic_Croaker,09/01/1997,10/31/1997,,9999,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,1
,1997,6,NJ,9999,1,9999,Atlantic_Croaker,11/01/1997,12/31/1997,,9999,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,1
,1998,1,NJ,9999,1,9999,Atlantic_Croaker,01/01/1998,02/28/1998,,9999,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,1
,1998,2,NJ,9999,1,9999,Atlantic_Croaker,03/01/1998,04/30/1998,,9999,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,1
,1998,3,NJ,9999,1,9999,Atlantic_Croaker,05/01/1998,06/30/1998,,9999,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,1
,1998,4,NJ,9999,1,9999,Atlantic_Croaker,07/01/1998,08/31/1998,,9999,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,1
,1998,5,NJ,9999,1,9999,Atlantic_Croaker,09/01/1998,10/31/1998,,9999,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,1
,1998,6,NJ,9999,1,9999,Atlantic_Croaker,11/01/1998,12/31/1998,,9999,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,1
,1999,1,NJ,9999,1,9999,Atlantic_Croaker,01/01/1999,02/28/1999,,9999,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,1
,1999,2,NJ,9999,1,9999,Atlantic_Croaker,03/01/1999,04/30/1999,,9999,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,1
,1999,3,NJ,9999,1,9999,Atlantic_Croaker,05/01/1999,06/30/1999,,9999,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,1
