ID,year,wave,state,area,juristiction,depth.allowed,species,start.date,end.date,daily.closures,bag.limit,agg.bag.limit,agg.bag.limit.wt,boat.limit,poss.limit,bonus.limit,min.size,min.size2,max.size,max.size2,bag.above.max,bag.above.max.size2,bag.below.min,mode,gear.restriction,other,Comments,imputed
,2015,1,ME,9999,1,9999,black_sea_bass,01/01/15,02/28/15,,0,0,9999,,9999,,9999,,9999,,9999,,0,0,0,0,,0
,2015,2,ME,9999,1,9999,black_sea_bass,03/01/15,04/31/2015,,0,0,9999,,9999,,9999,,9999,,9999,,0,0,0,0,,0
,2015,3,ME,9999,1,9999,black_sea_bass,05/01/15,05/18/15,,0,0,9999,,9999,,9999,,9999,,9999,,0,0,0,0,,0
,2015,3,ME,9999,1,9999,black_sea_bass,05/19/15,06/30/15,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2015,4,ME,9999,1,9999,black_sea_bass,07/01/15,08/31/15,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2015,5,ME,9999,1,9999,black_sea_bass,09/01/15,09/18/15,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2015,5,ME,9999,1,9999,black_sea_bass,09/19/15,10/31/15,,0,0,9999,,9999,,9999,,9999,,9999,,0,0,0,0,,0
,2015,6,ME,9999,1,9999,black_sea_bass,11/01/15,12/31/15,,0,0,9999,,9999,,9999,,9999,,9999,,0,0,0,0,,0
,2016,1,ME,9999,1,9999,black_sea_bass,01/01/16,02/29/16,,0,0,9999,,9999,,9999,,9999,,9999,,0,0,0,0,,0
,2016,2,ME,9999,1,9999,black_sea_bass,03/01/16,04/30/16,,0,0,9999,,9999,,9999,,9999,,9999,,0,0,0,0,,0
,2016,3,ME,9999,1,9999,black_sea_bass,05/01/16,05/18/16,,0,0,9999,,9999,,9999,,9999,,9999,,0,0,0,0,,0
,2016,3,ME,9999,1,9999,black_sea_bass,05/19/16,06/30/16,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2016,4,ME,9999,1,9999,black_sea_bass,07/01/16,08/31/16,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2016,5,ME,9999,1,9999,black_sea_bass,09/01/16,09/21/16,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2016,5,ME,9999,1,9999,black_sea_bass,09/22/16,10/17/16,,0,0,9999,,9999,,9999,,9999,,9999,,0,0,0,0,,0
,2016,5,ME,9999,1,9999,black_sea_bass,10/18/16,10/31/16,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2016,6,ME,9999,1,9999,black_sea_bass,11/01/16,12/31/16,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2017,1,ME,9999,1,9999,black_sea_bass,01/01/17,02/28/17,,0,0,9999,,9999,,9999,,9999,,9999,,0,0,0,0,,0
,2017,2,ME,9999,1,9999,black_sea_bass,03/01/17,04/30/17,,0,0,9999,,9999,,9999,,9999,,9999,,0,0,0,0,,0
,2017,3,ME,9999,1,9999,black_sea_bass,05/01/17,05/18/17,,0,0,9999,,9999,,9999,,9999,,9999,,0,0,0,0,,0
,2017,3,ME,9999,1,9999,black_sea_bass,05/19/17,06/30/17,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2017,4,ME,9999,1,9999,black_sea_bass,07/01/17,08/31/17,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2017,5,ME,9999,1,9999,black_sea_bass,09/01/17,09/21/17,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2017,5,ME,9999,1,9999,black_sea_bass,09/22/17,10/17/17,,0,0,9999,,9999,,9999,,9999,,9999,,0,0,0,0,,0
,2017,5,ME,9999,1,9999,black_sea_bass,10/18/17,10/31/17,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2017,6,ME,9999,1,9999,black_sea_bass,11/01/17,12/31/17,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2018,1,ME,9999,1,9999,black_sea_bass,01/01/18,02/28/18,,0,0,9999,,9999,,9999,,9999,,9999,,0,0,0,0,,0
,2018,2,ME,9999,1,9999,black_sea_bass,03/01/18,04/30/18,,0,0,9999,,9999,,9999,,9999,,9999,,0,0,0,0,,0
,2018,3,ME,9999,1,9999,black_sea_bass,05/01/18,05/18/18,,0,0,9999,,9999,,9999,,9999,,9999,,0,0,0,0,,0
,2018,3,ME,9999,1,9999,black_sea_bass,05/19/18,06/30/18,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2018,4,ME,9999,1,9999,black_sea_bass,07/01/18,08/31/18,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2018,5,ME,9999,1,9999,black_sea_bass,09/01/18,09/21/18,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2018,5,ME,9999,1,9999,black_sea_bass,09/22/18,10/17/18,,0,0,9999,,9999,,9999,,9999,,9999,,0,0,0,0,,0
,2018,5,ME,9999,1,9999,black_sea_bass,10/18/18,10/31/18,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2018,6,ME,9999,1,9999,black_sea_bass,11/01/18,12/31/18,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2014,1,NH,9999,1,9999,black_sea_bass,01/01/14,02/28/14,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2014,2,NH,9999,1,9999,black_sea_bass,03/01/14,04/30/14,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2014,3,NH,9999,1,9999,black_sea_bass,05/01/14,06/30/14,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2014,4,NH,9999,1,9999,black_sea_bass,07/01/14,08/31/14,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2014,5,NH,9999,1,9999,black_sea_bass,09/01/14,10/31/14,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2014,6,NH,9999,1,9999,black_sea_bass,11/01/14,12/31/14,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2015,1,NH,9999,1,9999,black_sea_bass,01/01/15,02/28/15,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2015,2,NH,9999,1,9999,black_sea_bass,03/01/15,04/30/15,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2015,3,NH,9999,1,9999,black_sea_bass,05/01/15,06/30/15,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2015,4,NH,9999,1,9999,black_sea_bass,07/01/15,08/31/15,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2015,5,NH,9999,1,9999,black_sea_bass,09/01/15,10/31/15,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2015,6,NH,9999,1,9999,black_sea_bass,11/01/15,12/31/15,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2016,1,NH,9999,1,9999,black_sea_bass,01/01/16,02/29/16,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2016,2,NH,9999,1,9999,black_sea_bass,03/01/16,04/30/16,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2016,3,NH,9999,1,9999,black_sea_bass,05/01/16,06/30/16,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2016,4,NH,9999,1,9999,black_sea_bass,07/01/16,08/31/16,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2016,5,NH,9999,1,9999,black_sea_bass,09/01/16,10/31/16,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2016,6,NH,9999,1,9999,black_sea_bass,11/01/16,12/31/16,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2017,1,NH,9999,1,9999,black_sea_bass,01/01/17,02/28/17,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2017,2,NH,9999,1,9999,black_sea_bass,03/01/17,04/30/17,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2017,3,NH,9999,1,9999,black_sea_bass,05/01/17,06/30/17,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2017,4,NH,9999,1,9999,black_sea_bass,07/01/17,08/31/17,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2017,5,NH,9999,1,9999,black_sea_bass,09/01/17,10/31/17,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2017,6,NH,9999,1,9999,black_sea_bass,11/01/17,12/31/17,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2018,1,NH,9999,1,9999,black_sea_bass,01/01/18,02/28/18,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2018,2,NH,9999,1,9999,black_sea_bass,03/01/18,04/30/18,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2018,3,NH,9999,1,9999,black_sea_bass,05/01/18,06/30/18,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2018,4,NH,9999,1,9999,black_sea_bass,07/01/18,08/31/18,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2018,5,NH,9999,1,9999,black_sea_bass,09/01/18,10/31/18,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2018,6,NH,9999,1,9999,black_sea_bass,11/01/18,12/31/18,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,1996,1,MA,9999,1,9999,black_sea_bass,01/01/96,02/29/96,,9999,9999,9999,,9999,,9,,9999,,9999,,0,0,0,0,,0
,1996,2,MA,9999,1,9999,black_sea_bass,03/01/96,04/30/96,,9999,9999,9999,,9999,,9,,9999,,9999,,0,0,0,0,,0
