ID,year,wave,state,area,juristiction,depth.allowed,species,start.date,end.date,daily.closures,bag.limit,agg.bag.limit,agg.bag.limit.wt,boat.limit,poss.limit,bonus.limit,min.size,tl.fl,min.size2,max.size,max.size2,bag.above.max,bag.above.max2,bag.below.min,mode,gear.restriction,other,comments,imputed
,1991,1,NC,,,,Red_Porgy,01/01/1991,02/28/1991,,,,,,,,0,,,,,,,,,,,,
,1991,2,NC,,,,Red_Porgy,03/01/1991,04/30/1991,,,,,,,,0,,,,,,,,,,,,
,1991,3,NC,,,,Red_Porgy,05/01/1991,06/30/1991,,,,,,,,0,,,,,,,,,,,,
,1991,4,NC,,,,Red_Porgy,07/01/1991,08/31/1991,,,,,,,,0,,,,,,,,,,,,
,1991,5,NC,,,,Red_Porgy,09/01/1991,10/31/1991,,,,,,,,0,,,,,,,,,,,,
,1991,6,NC,,,,Red_Porgy,11/01/1991,12/31/1991,,,,,,,,0,,,,,,,,,,,,
,1992,1,NC,,,,Red_Porgy,01/01/1992,02/29/1992,,,,,,,,12,,,,,,,,,,,,
,1992,2,NC,,,,Red_Porgy,03/01/1992,04/30/1992,,,,,,,,12,,,,,,,,,,,,
,1992,3,NC,,,,Red_Porgy,05/01/1992,06/30/1992,,,,,,,,12,,,,,,,,,,,,
,1992,4,NC,,,,Red_Porgy,07/01/1992,08/31/1992,,,,,,,,12,,,,,,,,,,,,
,1992,5,NC,,,,Red_Porgy,09/01/1992,10/31/1992,,,,,,,,12,,,,,,,,,,,,
,1992,6,NC,,,,Red_Porgy,11/01/1992,12/31/1992,,,,,,,,12,,,,,,,,,,,,
,1993,1,NC,,,,Red_Porgy,01/01/1993,02/28/1993,,,,,,,,12,,,,,,,,,,,,
,1993,2,NC,,,,Red_Porgy,03/01/1993,04/30/1993,,,,,,,,12,,,,,,,,,,,,
,1993,3,NC,,,,Red_Porgy,05/01/1993,06/30/1993,,,,,,,,12,,,,,,,,,,,,
,1993,4,NC,,,,Red_Porgy,07/01/1993,08/31/1993,,,,,,,,12,,,,,,,,,,,,
,1993,5,NC,,,,Red_Porgy,09/01/1993,10/31/1993,,,,,,,,12,,,,,,,,,,,,
,1993,6,NC,,,,Red_Porgy,11/01/1993,12/31/1993,,,,,,,,12,,,,,,,,,,,,
,1994,1,NC,,,,Red_Porgy,01/01/1994,02/28/1994,,,,,,,,12,,,,,,,,,,,,
,1994,2,NC,,,,Red_Porgy,03/01/1994,04/30/1994,,,,,,,,12,,,,,,,,,,,,
,1994,3,NC,,,,Red_Porgy,05/01/1994,06/30/1994,,,,,,,,12,,,,,,,,,,,,
,1994,4,NC,,,,Red_Porgy,07/01/1994,08/31/1994,,10,10,,,,,12,1,,,,,,,,,,,
,1994,5,NC,,,,Red_Porgy,09/01/1994,10/31/1994,,10,10,,,,,12,1,,,,,,,,,,,
,1994,6,NC,,,,Red_Porgy,11/01/1994,12/31/1994,,10,10,,,,,12,1,,,,,,,,,,,
,1995,1,NC,,,,Red_Porgy,01/01/1995,02/28/1995,,10,10,,,,,12,1,,,,,,,,,,,
,1995,2,NC,,,,Red_Porgy,03/01/1995,04/30/1995,,10,10,,,,,12,1,,,,,,,,,,,
,1995,3,NC,,,,Red_Porgy,05/01/1995,06/30/1995,,10,10,,,,,12,1,,,,,,,,,,,
,1995,4,NC,,,,Red_Porgy,07/01/1995,08/31/1995,,10,10,,,,,12,1,,,,,,,,,,,
,1995,5,NC,,,,Red_Porgy,09/01/1995,10/31/1995,,10,10,,,,,12,1,,,,,,,,,,,
,1995,6,NC,,,,Red_Porgy,11/01/1995,12/31/1995,,10,10,,,,,12,1,,,,,,,,,,,
,1996,1,NC,,,,Red_Porgy,01/01/1996,02/29/1996,,10,10,,,,,12,1,,,,,,,,,,,
,1996,2,NC,,,,Red_Porgy,03/01/1996,04/30/1996,,10,10,,,,,12,1,,,,,,,,,,,
,1996,3,NC,,,,Red_Porgy,05/01/1996,06/30/1996,,10,10,,,,,12,1,,,,,,,,,,,
,1996,4,NC,,,,Red_Porgy,07/01/1996,08/31/1996,,10,10,,,,,12,1,,,,,,,,,,,
,1996,5,NC,,,,Red_Porgy,09/01/1996,10/31/1996,,10,10,,,,,12,1,,,,,,,,,,,
,1996,6,NC,,,,Red_Porgy,11/01/1996,12/31/1996,,10,10,,,,,12,1,,,,,,,,,,,
,1997,1,NC,,,,Red_Porgy,01/01/1997,02/28/1997,,10,10,,,,,12,1,,,,,,,,,,,
,1997,2,NC,,,,Red_Porgy,03/01/1997,04/30/1997,,10,10,,,,,12,1,,,,,,,,,,,
,1997,3,NC,,,,Red_Porgy,05/01/1997,06/30/1997,,10,10,,,,,12,1,,,,,,,,,,,
,1997,4,NC,,,,Red_Porgy,07/01/1997,08/31/1997,,10,10,,,,,12,1,,,,,,,,,,,
,1997,5,NC,,,,Red_Porgy,09/01/1997,10/31/1997,,10,10,,,,,12,1,,,,,,,,,,,
,1997,6,NC,,,,Red_Porgy,11/01/1997,12/31/1997,,10,10,,,,,12,1,,,,,,,,,,,
,1998,1,NC,,,,Red_Porgy,01/01/1998,02/28/1998,,10,10,,,,,12,1,,,,,,,,,,,
,1998,2,NC,,,,Red_Porgy,03/01/1998,04/30/1998,,10,10,,,,,12,1,,,,,,,,,,,
,1998,3,NC,,,,Red_Porgy,05/01/1998,06/30/1998,,10,10,,,,,12,1,,,,,,,,,,,
,1998,4,NC,,,,Red_Porgy,07/01/1998,08/31/1998,,10,10,,,,,12,1,,,,,,,,,,,
,1998,5,NC,,,,Red_Porgy,09/01/1998,10/31/1998,,10,10,,,,,12,1,,,,,,,,,,,
,1998,6,NC,,,,Red_Porgy,11/01/1998,12/31/1998,,10,10,,,,,12,1,,,,,,,,,,,
,1999,1,NC,,,,Red_Porgy,01/01/1999,01/31/1999,,10,10,,,,,12,1,,,,,,,,,,,
,1999,1,NC,,,,Red_Porgy,02/01/1999,02/28/1999,,5,10,,,,,14,1,,,,,,,,,,,
,1999,2,NC,,,,Red_Porgy,03/01/1999,04/30/1999,,5,10,,,,,14,1,,,,,,,,,,,
,1999,3,NC,,,,Red_Porgy,05/01/1999,05/23/1999,,5,10,,,,,14,1,,,,,,,,,,,
,1999,3,NC,,,,Red_Porgy,05/24/1999,06/30/1999,,5,10,,,,,14,1,,,,,,,,,,,
,1999,4,NC,,,,Red_Porgy,07/01/1999,08/31/1999,,5,10,,,,,14,1,,,,,,,,,,,
,1999,5,NC,,,,Red_Porgy,09/01/1999,10/31/1999,,0,,,,,,,,,,,,,,,,,,
,1999,6,NC,,,,Red_Porgy,11/01/1999,12/31/1999,,0,,,,,,,,,,,,,,,,,,
,2000,1,NC,,,,Red_Porgy,01/01/2000,02/29/2000,,0,,,,,,,,,,,,,,,,,,
,2000,2,NC,,,,Red_Porgy,03/01/2000,04/30/2000,,0,,,,,,,,,,,,,,,,,,
,2000,3,NC,,,,Red_Porgy,05/01/2000,06/30/2000,,0,,,,,,,,,,,,,,,,,,
,2000,4,NC,,,,Red_Porgy,07/01/2000,07/31/2000,,0,,,,,,,,,,,,,,,,,,
,2000,4,NC,,,,Red_Porgy,08/01/2000,08/31/2000,,5,,,,,,14,1,,,,,,,,,,,
,2000,5,NC,,,,Red_Porgy,09/01/2000,10/31/2000,,5,,,,,,14,1,,,,,,,,,,,
,2000,6,NC,,,,Red_Porgy,11/01/2000,12/31/2000,,5,,,,,,14,1,,,,,,,,,,,
,2001,1,NC,,,,Red_Porgy,01/01/2001,02/28/2001,,1,,,,,,14,1,,,,,,,,,,,
,2001,2,NC,,,,Red_Porgy,03/01/2001,04/30/2001,,1,,,,,,14,1,,,,,,,,,,,
,2001,3,NC,,,,Red_Porgy,05/01/2001,06/30/2001,,1,,,,,,14,1,,,,,,,,,,,
