ID,year,wave,state,area,juristiction,depth.allowed,species,start.date,end.date,daily.closures,bag.limit,agg.bag.limit,agg.bag.limit.wt,boat.limit,poss.limit,bonus.limit,min.size,min.size2,max.size,max.size2,bag.above.max,bag.above.max2,bag.below.min,mode,gear.restriction,other,Comments,imputed
,1991,1,NC,9999,1,9999,Red_Snapper,01/01/1991,01/14/1991,9999,9999,9999,9999,9999,9999,0,0,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1991,1,NC,9999,1,9999,Red_Snapper,01/15/1991,02/28/1991,9999,9999,9999,9999,9999,9999,0,12,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1991,2,NC,9999,1,9999,Red_Snapper,03/01/1991,04/30/1991,9999,9999,9999,9999,9999,9999,0,12,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1991,3,NC,9999,1,9999,Red_Snapper,05/01/1991,06/30/1991,9999,9999,9999,9999,9999,9999,0,12,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1991,4,NC,9999,1,9999,Red_Snapper,07/01/1991,08/31/1991,9999,9999,9999,9999,9999,9999,0,12,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1991,5,NC,9999,1,9999,Red_Snapper,09/01/1991,10/31/1991,9999,9999,9999,9999,9999,9999,0,12,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1991,6,NC,9999,1,9999,Red_Snapper,11/01/1991,12/31/1991,9999,9999,9999,9999,9999,9999,0,12,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1992,1,NC,9999,1,9999,Red_Snapper,01/01/1992,02/29/1992,9999,9999,9999,9999,9999,9999,0,12,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1992,2,NC,9999,1,9999,Red_Snapper,03/01/1992,04/30/1992,9999,9999,9999,9999,9999,9999,0,12,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1992,3,NC,9999,1,9999,Red_Snapper,05/01/1992,06/30/1992,9999,9999,9999,9999,9999,9999,0,12,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1992,4,NC,9999,1,9999,Red_Snapper,07/01/1992,08/31/1992,9999,9999,9999,9999,9999,9999,0,12,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1992,5,NC,9999,1,9999,Red_Snapper,09/01/1992,10/31/1992,9999,9999,9999,9999,9999,9999,0,12,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1992,6,NC,9999,1,9999,Red_Snapper,11/01/1992,12/31/1992,9999,9999,9999,9999,9999,9999,0,12,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1993,1,NC,9999,1,9999,Red_Snapper,01/01/1993,02/28/1993,9999,9999,9999,9999,9999,9999,0,12,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1993,2,NC,9999,1,9999,Red_Snapper,03/01/1993,04/30/1993,9999,9999,9999,9999,9999,9999,0,12,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1993,3,NC,9999,1,9999,Red_Snapper,05/01/1993,06/30/1993,9999,9999,9999,9999,9999,9999,0,12,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1993,4,NC,9999,1,9999,Red_Snapper,07/01/1993,08/31/1993,9999,9999,9999,9999,9999,9999,0,12,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1993,5,NC,9999,1,9999,Red_Snapper,09/01/1993,10/31/1993,9999,9999,9999,9999,9999,9999,0,12,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1993,6,NC,9999,1,9999,Red_Snapper,11/01/1993,12/31/1993,9999,9999,9999,9999,9999,9999,0,12,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1994,1,NC,9999,1,9999,Red_Snapper,01/01/1994,02/28/1994,9999,9999,9999,9999,9999,9999,0,12,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1994,2,NC,9999,1,9999,Red_Snapper,03/01/1994,04/30/1994,9999,9999,9999,9999,9999,9999,0,12,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1994,3,NC,9999,1,9999,Red_Snapper,05/01/1994,06/30/1994,9999,9999,9999,9999,9999,9999,0,12,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1994,4,NC,9999,1,9999,Red_Snapper,07/01/1994,08/31/1994,9999,2,10,9999,9999,9999,0,20,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1994,5,NC,9999,1,9999,Red_Snapper,09/01/1994,10/31/1994,9999,2,10,9999,9999,9999,0,20,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1994,6,NC,9999,1,9999,Red_Snapper,11/01/1994,12/31/1994,9999,2,10,9999,9999,9999,0,20,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1995,1,NC,9999,1,9999,Red_Snapper,01/01/1995,02/28/1995,9999,2,10,9999,9999,9999,0,20,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1995,2,NC,9999,1,9999,Red_Snapper,03/01/1995,04/30/1995,9999,2,10,9999,9999,9999,0,20,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1995,3,NC,9999,1,9999,Red_Snapper,05/01/1995,06/30/1995,9999,2,10,9999,9999,9999,0,20,9999,9999,9999,9999,9999,9999,0,0,0,0,0
,1995,4,NC,9999,1,9999,Red_Snapper,07/01/1995,08/31/1995,9999,2,10,9999,9999,9999,0,20,9999,9999,9999,9999,9999,9999,0,0,0,0,0
