ID,year,wave,state,area,juristiction,depth.allowed,species,start.date,end.date,daily.closures,bag.limit,agg.bag.limit,agg.bag.limit.wt,boat.limit,poss.limit,bonus.limit,min.size,min.size2,max.size,max.size2,bag.above.max,bag.above.max2,bag.below.min,mode,gear.restriction,other,Comments,imputed
,2015,1,ME,9999,1,9999,black_sea_bass,1/1/2015,2/28/2015,,0,0,9999,,9999,,9999,,9999,,9999,,0,0,0,0,,0
,2015,2,ME,9999,1,9999,black_sea_bass,3/1/2015,4/30/2015,,0,0,9999,,9999,,9999,,9999,,9999,,0,0,0,0,,0
,2015,3,ME,9999,1,9999,black_sea_bass,5/1/2015,5/18/2015,,0,0,9999,,9999,,9999,,9999,,9999,,0,0,0,0,,0
,2015,3,ME,9999,1,9999,black_sea_bass,5/19/2015,6/30/2015,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2015,4,ME,9999,1,9999,black_sea_bass,7/1/2015,8/31/2015,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2015,5,ME,9999,1,9999,black_sea_bass,9/1/2015,9/18/2015,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2015,5,ME,9999,1,9999,black_sea_bass,9/19/2015,10/31/2015,,0,0,9999,,9999,,9999,,9999,,9999,,0,0,0,0,,0
,2015,6,ME,9999,1,9999,black_sea_bass,11/1/2015,12/31/2015,,0,0,9999,,9999,,9999,,9999,,9999,,0,0,0,0,,0
,2016,1,ME,9999,1,9999,black_sea_bass,1/1/2016,2/29/2016,,0,0,9999,,9999,,9999,,9999,,9999,,0,0,0,0,,0
,2016,2,ME,9999,1,9999,black_sea_bass,3/1/2016,4/30/2016,,0,0,9999,,9999,,9999,,9999,,9999,,0,0,0,0,,0
,2016,3,ME,9999,1,9999,black_sea_bass,5/1/2016,5/18/2016,,0,0,9999,,9999,,9999,,9999,,9999,,0,0,0,0,,0
,2016,3,ME,9999,1,9999,black_sea_bass,5/19/2016,6/30/2016,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2016,4,ME,9999,1,9999,black_sea_bass,7/1/2016,8/31/2016,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2016,5,ME,9999,1,9999,black_sea_bass,9/1/2016,9/21/2016,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2016,5,ME,9999,1,9999,black_sea_bass,9/22/2016,10/17/2016,,0,0,9999,,9999,,9999,,9999,,9999,,0,0,0,0,,0
,2016,5,ME,9999,1,9999,black_sea_bass,10/18/2016,10/31/2016,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2016,6,ME,9999,1,9999,black_sea_bass,11/1/2016,12/31/2016,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2017,1,ME,9999,1,9999,black_sea_bass,1/1/2017,2/28/2017,,0,0,9999,,9999,,9999,,9999,,9999,,0,0,0,0,,0
,2017,2,ME,9999,1,9999,black_sea_bass,3/1/2017,4/30/2017,,0,0,9999,,9999,,9999,,9999,,9999,,0,0,0,0,,0
,2017,3,ME,9999,1,9999,black_sea_bass,5/1/2017,5/18/2017,,0,0,9999,,9999,,9999,,9999,,9999,,0,0,0,0,,0
,2017,3,ME,9999,1,9999,black_sea_bass,5/19/2017,6/30/2017,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2017,4,ME,9999,1,9999,black_sea_bass,7/1/2017,8/31/2017,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2017,5,ME,9999,1,9999,black_sea_bass,9/1/2017,9/21/2017,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2017,5,ME,9999,1,9999,black_sea_bass,9/22/2017,10/17/2017,,0,0,9999,,9999,,9999,,9999,,9999,,0,0,0,0,,0
,2017,5,ME,9999,1,9999,black_sea_bass,10/18/2017,10/31/2017,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2017,6,ME,9999,1,9999,black_sea_bass,11/1/2017,12/31/2017,,10,9999,9999,,9999,,13,,9999,,9999,,0,0,0,0,,0
,2018,1,ME,9999,1,9999,black_sea_bass,1/1/2018,2/28/2018,,0,0,9999,,9999,,9999,,9999,,9999,,0,0,0,0,,0
