ID,year,wave,state,area,juristiction,depth.allowed,species,start.date,end.date,daily.closures,bag.limit,agg.bag.limit,agg.bag.limit.wt,boat.limit,poss.limit,bonus.limit,min.size,min.size2,max.size,max.size2,bag.above.max,bag.above.max2,bag.below.min,mode,gear.restriction,other,comments,imputed
,1993,4,FL,,1,9999,Bluefish,07/01/1993,08/31/1993,9999,10,,,,,,12,,,,,,,,0,,,
,1993,5,FL,,1,9999,Bluefish,09/01/1993,10/31/1993,9999,10,,,,,,12,,,,,,,,0,,,
,1993,6,FL,,1,9999,Bluefish,11/01/1993,12/31/1993,9999,10,,,,,,12,,,,,,,,0,,,
,1994,1,FL,,1,9999,Bluefish,01/01/1994,02/28/1994,9999,10,,,,,,12,,,,,,,,0,,,
,1994,2,FL,,1,9999,Bluefish,03/01/1994,04/30/1994,9999,10,,,,,,12,,,,,,,,0,,,
,1994,3,FL,,1,9999,Bluefish,05/01/1994,06/30/1994,9999,10,,,,,,12,,,,,,,,0,,,
,1994,4,FL,,1,9999,Bluefish,07/01/1994,08/31/1994,9999,10,,,,,,12,,,,,,,,0,,,
,1994,5,FL,,1,9999,Bluefish,09/01/1994,10/31/1994,9999,10,,,,,,12,,,,,,,,0,,,
,1994,6,FL,,1,9999,Bluefish,11/01/1994,12/31/1994,9999,10,,,,,,12,,,,,,,,0,,,
,1995,1,FL,,1,9999,Bluefish,01/01/1995,02/28/1995,9999,10,,,,,,12,,,,,,,,0,,,
,1995,2,FL,,1,9999,Bluefish,03/01/1995,04/30/1995,9999,10,,,,,,12,,,,,,,,0,,,
,1995,3,FL,,1,9999,Bluefish,05/01/1995,06/30/1995,9999,10,,,,,,12,,,,,,,,0,,,
,1995,4,FL,,1,9999,Bluefish,07/01/1995,08/31/1995,9999,10,,,,,,12,,,,,,,,0,,,
,1995,5,FL,,1,9999,Bluefish,09/01/1995,10/31/1995,9999,10,,,,,,12,,,,,,,,0,,,
,1995,6,FL,,1,9999,Bluefish,11/01/1995,12/31/1995,9999,10,,,,,,12,,,,,,,,0,,,
,1996,1,FL,,1,9999,Bluefish,01/01/1996,02/29/1996,9999,10,,,,,,12,,,,,,,,0,,,
,1996,2,FL,,1,9999,Bluefish,03/01/1996,04/30/1996,9999,10,,,,,,12,,,,,,,,0,,,
,1996,3,FL,,1,9999,Bluefish,05/01/1996,06/30/1996,9999,10,,,,,,12,,,,,,,,0,,,
,1996,4,FL,,1,9999,Bluefish,07/01/1996,08/31/1996,9999,10,,,,,,12,,,,,,,,0,,,
,1996,5,FL,,1,9999,Bluefish,09/01/1996,10/31/1996,9999,10,,,,,,12,,,,,,,,0,,,
,1996,6,FL,,1,9999,Bluefish,11/01/1996,12/31/1996,9999,10,,,,,,12,,,,,,,,0,,,
,1997,1,FL,,1,9999,Bluefish,01/01/1997,02/28/1997,9999,10,,,,,,12,,,,,,,,0,,,
,1997,2,FL,,1,9999,Bluefish,03/01/1997,04/30/1997,9999,10,,,,,,12,,,,,,,,0,,,
,1997,3,FL,,1,9999,Bluefish,05/01/1997,06/30/1997,9999,10,,,,,,12,,,,,,,,0,,,
,1997,4,FL,,1,9999,Bluefish,07/01/1997,08/31/1997,9999,10,,,,,,12,,,,,,,,0,,,
,1997,5,FL,,1,9999,Bluefish,09/01/1997,10/31/1997,9999,10,,,,,,12,,,,,,,,0,,,
