ID,year,wave,state,area,juristiction,depth.allowed,species,start.date,end.date,daily.closures,bag.limit,agg.bag.limit,agg.bag.limit.wt,boat.limit,poss.limit,bonus.limit,min.size,min.size2,max.size,max.size2,bag.above.max,bag.above.max2,bag.below.min,mode,gear.restriction,other,Comments,imputed
,1990,1,FL,,1,,Greater_Amberjack,01/01/1990,01/31/1990,9999,9999,9999,9999,9999,9999,9999,0,0,9999,9999,9999,9999,9999,0,0,0,,0
,1990,1,FL,,1,,Greater_Amberjack,02/01/1990,02/28/1990,9999,3,9999,9999,9999,6,9999,28,0,9999,9999,9999,9999,9999,0,0,0,,0
,1990,2,FL,,1,,Greater_Amberjack,03/01/1990,04/30/1990,9999,3,9999,9999,9999,6,9999,28,0,9999,9999,9999,9999,9999,0,0,0,,0
,1990,3,FL,,1,,Greater_Amberjack,05/01/1990,06/30/1990,9999,3,9999,9999,9999,6,9999,28,0,9999,9999,9999,9999,9999,0,0,0,,0
,1990,4,FL,,1,,Greater_Amberjack,07/01/1990,08/31/1990,9999,3,9999,9999,9999,6,9999,28,0,9999,9999,9999,9999,9999,0,0,0,,0
,1990,5,FL,,1,,Greater_Amberjack,09/01/1990,10/31/1990,9999,3,9999,9999,9999,6,9999,28,0,9999,9999,9999,9999,9999,0,0,0,,0
,1990,6,FL,,1,,Greater_Amberjack,11/01/1990,12/31/1990,9999,3,9999,9999,9999,6,9999,28,0,9999,9999,9999,9999,9999,0,0,0,,0
,1991,1,FL,,1,,Greater_Amberjack,01/01/1991,02/28/1991,9999,3,9999,9999,9999,6,9999,28,0,9999,9999,9999,9999,9999,0,0,0,,0
,1991,2,FL,,1,,Greater_Amberjack,03/01/1991,04/30/1991,9999,3,9999,9999,9999,6,9999,28,0,9999,9999,9999,9999,9999,0,0,0,,0
,1991,3,FL,,1,,Greater_Amberjack,05/01/1991,06/30/1991,9999,3,9999,9999,9999,6,9999,28,0,9999,9999,9999,9999,9999,0,0,0,,0
,1991,4,FL,,1,,Greater_Amberjack,07/01/1991,08/31/1991,9999,3,9999,9999,9999,6,9999,28,0,9999,9999,9999,9999,9999,0,0,0,,0
,1991,5,FL,,1,,Greater_Amberjack,09/01/1991,10/31/1991,9999,3,9999,9999,9999,6,9999,28,0,9999,9999,9999,9999,9999,0,0,0,,0
,1991,6,FL,,1,,Greater_Amberjack,11/01/1991,12/31/1991,9999,3,9999,9999,9999,6,9999,28,0,9999,9999,9999,9999,9999,0,0,0,,0
,1992,1,FL,,1,,Greater_Amberjack,01/01/1992,02/29/1992,9999,3,9999,9999,9999,6,9999,28,0,9999,9999,9999,9999,9999,0,0,0,,0
,1992,2,FL,,1,,Greater_Amberjack,03/01/1992,04/30/1992,9999,3,9999,9999,9999,6,9999,28,0,9999,9999,9999,9999,9999,0,0,0,,0
,1992,3,FL,,1,,Greater_Amberjack,05/01/1992,06/30/1992,9999,3,9999,9999,9999,6,9999,28,0,9999,9999,9999,9999,9999,0,0,0,,0
,1992,4,FL,,1,,Greater_Amberjack,07/01/1992,08/31/1992,9999,3,9999,9999,9999,6,9999,28,0,9999,9999,9999,9999,9999,0,0,0,,0
,1992,5,FL,,1,,Greater_Amberjack,09/01/1992,10/31/1992,9999,3,9999,9999,9999,6,9999,28,0,9999,9999,9999,9999,9999,0,0,0,,0
,1992,6,FL,,1,,Greater_Amberjack,11/01/1992,12/31/1992,9999,3,9999,9999,9999,6,9999,28,0,9999,9999,9999,9999,9999,0,0,0,,0
,1993,1,FL,,1,,Greater_Amberjack,01/01/1993,02/28/1993,9999,3,9999,9999,9999,6,9999,28,0,9999,9999,9999,9999,9999,0,0,0,,0
,1993,2,FL,,1,,Greater_Amberjack,03/01/1993,04/30/1993,9999,3,9999,9999,9999,6,9999,28,0,9999,9999,9999,9999,9999,0,0,0,,0
,1993,3,FL,,1,,Greater_Amberjack,05/01/1993,06/30/1993,9999,3,9999,9999,9999,6,9999,28,0,9999,9999,9999,9999,9999,0,0,0,,0
,1993,4,FL,,1,,Greater_Amberjack,07/01/1993,08/31/1993,9999,3,9999,9999,9999,6,9999,28,0,9999,9999,9999,9999,9999,0,0,0,,0
,1993,5,FL,,1,,Greater_Amberjack,09/01/1993,10/31/1993,9999,3,9999,9999,9999,6,9999,28,0,9999,9999,9999,9999,9999,0,0,0,,0
,1993,6,FL,,1,,Greater_Amberjack,11/01/1993,12/31/1993,9999,3,9999,9999,9999,6,9999,28,0,9999,9999,9999,9999,9999,0,0,0,,0
,1994,1,FL,,1,,Greater_Amberjack,01/01/1994,02/28/1994,9999,3,9999,9999,9999,6,9999,28,0,9999,9999,9999,9999,9999,0,0,0,,0
,1994,2,FL,,1,,Greater_Amberjack,03/01/1994,04/30/1994,9999,3,9999,9999,9999,6,9999,28,0,9999,9999,9999,9999,9999,0,0,0,,0
,1994,3,FL,,1,,Greater_Amberjack,05/01/1994,06/30/1994,9999,3,9999,9999,9999,6,9999,28,0,9999,9999,9999,9999,9999,0,0,0,,0
,1994,4,FL,,1,,Greater_Amberjack,07/01/1994,08/31/1994,9999,3,9999,9999,9999,6,9999,28,0,9999,9999,9999,9999,9999,0,0,0,,0
,1994,5,FL,,1,,Greater_Amberjack,09/01/1994,10/31/1994,9999,3,9999,9999,9999,6,9999,28,0,9999,9999,9999,9999,9999,0,0,0,,0
,1994,6,FL,,1,,Greater_Amberjack,11/01/1994,12/31/1994,9999,3,9999,9999,9999,6,9999,28,0,9999,9999,9999,9999,9999,0,0,0,,0
,1995,1,FL,,1,,Greater_Amberjack,01/01/1995,02/28/1995,9999,3,9999,9999,9999,6,9999,28,0,9999,9999,9999,9999,9999,0,0,0,,0
,1995,2,FL,,1,,Greater_Amberjack,03/01/1995,04/30/1995,9999,3,9999,9999,9999,6,9999,28,0,9999,9999,9999,9999,9999,0,0,0,,0
,1995,3,FL,,1,,Greater_Amberjack,05/01/1995,06/30/1995,9999,3,9999,9999,9999,6,9999,28,0,9999,9999,9999,9999,9999,0,0,0,,0
,1995,4,FL,,1,,Greater_Amberjack,07/01/1995,08/31/1995,9999,3,9999,9999,9999,6,9999,28,0,9999,9999,9999,9999,9999,0,0,0,,0
,1995,5,FL,,1,,Greater_Amberjack,09/01/1995,10/31/1995,9999,3,9999,9999,9999,6,9999,28,0,9999,9999,9999,9999,9999,0,0,0,,0
,1995,6,FL,,1,,Greater_Amberjack,11/01/1995,12/31/1995,9999,3,9999,9999,9999,6,9999,28,0,9999,9999,9999,9999,9999,0,0,0,,0
,1996,1,FL,,1,,Greater_Amberjack,01/01/1996,02/29/1996,9999,3,9999,9999,9999,6,9999,28,0,9999,9999,9999,9999,9999,0,0,0,,0
,1996,2,FL,,1,,Greater_Amberjack,03/01/1996,04/30/1996,9999,3,9999,9999,9999,6,9999,28,0,9999,9999,9999,9999,9999,0,0,0,,0
,1996,3,FL,,1,,Greater_Amberjack,05/01/1996,06/30/1996,9999,3,9999,9999,9999,6,9999,28,0,9999,9999,9999,9999,9999,0,0,0,,0
,1996,4,FL,MOC,1,,Greater_Amberjack,07/01/1996,08/31/1996,9999,1,9999,9999,9999,6,9999,28,0,9999,9999,9999,9999,9999,0,0,0,,0
,1996,5,FL,MOC,1,,Greater_Amberjack,09/01/1996,10/31/1996,9999,1,9999,9999,9999,6,9999,28,0,9999,9999,9999,9999,9999,0,0,0,,0
,1996,6,FL,MOC,1,,Greater_Amberjack,11/01/1996,12/31/1996,9999,1,9999,9999,9999,6,9999,28,0,9999,9999,9999,9999,9999,0,0,0,,0
