ID,year,wave,state,area,juristiction,depth.allowed,species,start.date,end.date,daily.closures,bag.limit,agg.bag.limit,agg.bag.limit.wt,boat.limit,poss.limit,bonus.limit,min.size,min.size2,max.size,max.size2,bag.above.max,bag.above.max2,bag.below.min,mode,gear.restriction,other,Comments,imputed
,1996,1,MA,9999,1,9999,Tautog,01/01/1996,02/29/1996,,8,9999,9999,9999,9999,,16,,9999,,9999,,9999,0,0,0,,0
,1996,2,MA,9999,1,9999,Tautog,03/01/1996,04/30/1996,,8,9999,9999,9999,9999,,16,,9999,,9999,,9999,0,0,0,,0
,1996,3,MA,9999,1,9999,Tautog,05/01/1996,06/30/1996,,8,9999,9999,9999,9999,,16,,9999,,9999,,9999,0,0,0,,0
,1996,4,MA,9999,1,9999,Tautog,07/01/1996,08/31/1996,,8,9999,9999,9999,9999,,16,,9999,,9999,,9999,0,0,0,,0
,1996,5,MA,9999,1,9999,Tautog,09/01/1996,10/31/1996,,8,9999,9999,9999,9999,,16,,9999,,9999,,9999,0,0,0,,0
,1996,6,MA,9999,1,9999,Tautog,11/01/1996,12/31/1996,,8,9999,9999,9999,9999,,16,,9999,,9999,,9999,0,0,0,,0
,1997,1,MA,9999,1,9999,Tautog,01/01/1997,02/28/1997,,6,9999,9999,9999,9999,,16,,9999,,9999,,9999,0,0,0,,0
,1997,2,MA,9999,1,9999,Tautog,03/01/1997,04/30/1997,,6,9999,9999,9999,9999,,16,,9999,,9999,,9999,0,0,0,,0
,1997,3,MA,9999,1,9999,Tautog,05/01/1997,06/30/1997,,6,9999,9999,9999,9999,,16,,9999,,9999,,9999,0,0,0,,0
,1997,4,MA,9999,1,9999,Tautog,07/01/1997,08/31/1997,,6,9999,9999,9999,9999,,16,,9999,,9999,,9999,0,0,0,,0
,1997,5,MA,9999,1,9999,Tautog,09/01/1997,10/31/1997,,6,9999,9999,9999,9999,,16,,9999,,9999,,9999,0,0,0,,0
,1997,6,MA,9999,1,9999,Tautog,11/01/1997,12/31/1997,,6,9999,9999,9999,9999,,16,,9999,,9999,,9999,0,0,0,,0
