ID,year,wave,state,area,juristiction,depth.allowed,species,start.date,end.date,daily.closures,bag.limit,agg.bag.limit,agg.bag.limit.wt,boat.limit,poss.limit,bonus.limit,min.size,min.size2,max.size,max.size2,bag.above.max,bag.above.max2,bag.below.min,mode,gear.restriction,other,Comments,imputed
,1996,1,ME,9999,1,9999,Winter Flounder,01/01/1996,02/29/1996,,9999,9999,9999,,9999,,12,,9999,,9999,,9999,0,0,0,,0
,1996,2,ME,9999,1,9999,Winter Flounder,03/01/1996,04/30/1996,,9999,9999,9999,,9999,,12,,9999,,9999,,9999,0,0,0,,0
,1996,3,ME,9999,1,9999,Winter Flounder,05/01/1996,06/30/1996,,9999,9999,9999,,9999,,12,,9999,,9999,,9999,0,0,0,,0
,1996,4,ME,9999,1,9999,Winter Flounder,07/01/1996,08/31/1996,,9999,9999,9999,,9999,,12,,9999,,9999,,9999,0,0,0,,0
,1996,5,ME,9999,1,9999,Winter Flounder,09/01/1996,10/31/1996,,9999,9999,9999,,9999,,12,,9999,,9999,,9999,0,0,0,,0
,1996,6,ME,9999,1,9999,Winter Flounder,11/01/1996,12/31/1996,,9999,9999,9999,,9999,,12,,9999,,9999,,9999,0,0,0,,0
,1997,1,ME,9999,1,9999,Winter Flounder,01/01/1997,02/28/1997,,9999,9999,9999,,9999,,12,,9999,,9999,,9999,0,0,0,,0
,1997,2,ME,9999,1,9999,Winter Flounder,03/01/1997,04/30/1997,,9999,9999,9999,,9999,,12,,9999,,9999,,9999,0,0,0,,0
,1997,3,ME,9999,1,9999,Winter Flounder,05/01/1997,06/30/1997,,9999,9999,9999,,9999,,12,,9999,,9999,,9999,0,0,0,,0
,1997,4,ME,9999,1,9999,Winter Flounder,07/01/1997,08/31/1997,,9999,9999,9999,,9999,,12,,9999,,9999,,9999,0,0,0,,0
,1997,5,ME,9999,1,9999,Winter Flounder,09/01/1997,10/31/1997,,9999,9999,9999,,9999,,12,,9999,,9999,,9999,0,0,0,,0
,1997,6,ME,9999,1,9999,Winter Flounder,11/01/1997,12/31/1997,,9999,9999,9999,,9999,,12,,9999,,9999,,9999,0,0,0,,0
,1998,1,ME,9999,1,9999,Winter Flounder,01/01/1998,02/28/1998,,9999,9999,9999,,9999,,12,,9999,,9999,,9999,0,0,0,,0
,1998,2,ME,9999,1,9999,Winter Flounder,03/01/1998,04/30/1998,,9999,9999,9999,,9999,,12,,9999,,9999,,9999,0,0,0,,0
,1998,3,ME,9999,1,9999,Winter Flounder,05/01/1998,06/30/1998,,9999,9999,9999,,9999,,12,,9999,,9999,,9999,0,0,0,,0
,1998,4,ME,9999,1,9999,Winter Flounder,07/01/1998,08/31/1998,,9999,9999,9999,,9999,,12,,9999,,9999,,9999,0,0,0,,0
,1998,5,ME,9999,1,9999,Winter Flounder,09/01/1998,10/31/1998,,9999,9999,9999,,9999,,12,,9999,,9999,,9999,0,0,0,,0
,1998,6,ME,9999,1,9999,Winter Flounder,11/01/1998,12/31/1998,,9999,9999,9999,,9999,,12,,9999,,9999,,9999,0,0,0,,0
,1999,1,ME,9999,1,9999,Winter Flounder,01/01/1999,02/28/1999,,9999,9999,9999,,9999,,12,,9999,,9999,,9999,0,0,0,,0
,1999,2,ME,9999,1,9999,Winter Flounder,03/01/1999,04/30/1999,,9999,9999,9999,,9999,,12,,9999,,9999,,9999,0,0,0,,0
,1999,3,ME,9999,1,9999,Winter Flounder,05/01/1999,06/30/1999,,9999,9999,9999,,9999,,12,,9999,,9999,,9999,0,0,0,,0
,1999,4,ME,9999,1,9999,Winter Flounder,07/01/1999,08/31/1999,,9999,9999,9999,,9999,,12,,9999,,9999,,9999,0,0,0,,0
,1999,5,ME,9999,1,9999,Winter Flounder,09/01/1999,10/31/1999,,9999,9999,9999,,9999,,12,,9999,,9999,,9999,0,0,0,,0
,1999,6,ME,9999,1,9999,Winter Flounder,11/01/1999,12/31/1999,,9999,9999,9999,,9999,,12,,9999,,9999,,9999,0,0,0,,0
,2000,1,ME,9999,1,9999,Winter Flounder,01/01/2000,02/29/2000,,9999,9999,9999,,9999,,12,,9999,,9999,,9999,0,0,0,,0
,2000,2,ME,9999,1,9999,Winter Flounder,03/01/2000,04/30/2000,,9999,9999,9999,,9999,,12,,9999,,9999,,9999,0,0,0,,0
,2000,3,ME,9999,1,9999,Winter Flounder,05/01/2000,06/30/2000,,9999,9999,9999,,9999,,12,,9999,,9999,,9999,0,0,0,,0
,2000,4,ME,9999,1,9999,Winter Flounder,07/01/2000,08/31/2000,,9999,9999,9999,,9999,,12,,9999,,9999,,9999,0,0,0,,0
,2000,5,ME,9999,1,9999,Winter Flounder,09/01/2000,10/31/2000,,9999,9999,9999,,9999,,12,,9999,,9999,,9999,0,0,0,,0
,2000,6,ME,9999,1,9999,Winter Flounder,11/01/2000,12/31/2000,,9999,9999,9999,,9999,,12,,9999,,9999,,9999,0,0,0,,0
,2001,1,ME,9999,1,9999,Winter Flounder,01/01/2001,02/28/2001,,9999,9999,9999,,9999,,12,,9999,,9999,,9999,0,0,0,,0
,2001,2,ME,9999,1,9999,Winter Flounder,03/01/2001,04/30/2001,,9999,9999,9999,,9999,,12,,9999,,9999,,9999,0,0,0,,0
,2001,3,ME,9999,1,9999,Winter Flounder,05/01/2001,06/30/2001,,9999,9999,9999,,9999,,12,,9999,,9999,,9999,0,0,0,,0
,2001,4,ME,9999,1,9999,Winter Flounder,07/01/2001,08/31/2001,,9999,9999,9999,,9999,,12,,9999,,9999,,9999,0,0,0,,0
,2001,5,ME,9999,1,9999,Winter Flounder,09/01/2001,10/31/2001,,9999,9999,9999,,9999,,12,,9999,,9999,,9999,0,0,0,,0
,2001,6,ME,9999,1,9999,Winter Flounder,11/01/2001,12/31/2001,,9999,9999,9999,,9999,,12,,9999,,9999,,9999,0,0,0,,0
,2002,1,ME,9999,1,9999,Winter Flounder,01/01/2002,02/28/2002,,9999,9999,9999,,9999,,12,,9999,,9999,,9999,0,0,0,,0
,2002,2,ME,9999,1,9999,Winter Flounder,03/01/2002,04/30/2002,,9999,9999,9999,,9999,,12,,9999,,9999,,9999,0,0,0,,0
,2002,3,ME,9999,1,9999,Winter Flounder,05/01/2002,06/30/2002,,9999,9999,9999,,9999,,12,,9999,,9999,,9999,0,0,0,,0
,2002,4,ME,9999,1,9999,Winter Flounder,07/01/2002,08/31/2002,,9999,9999,9999,,9999,,12,,9999,,9999,,9999,0,0,0,,0
