ID,year,wave,state,area,juristiction,depth.allowed,species,start.date,end.date,daily.closures,bag.limit,agg.bag.limit,agg.bag.limit.wt,boat.limit,poss.limit,bonus.limit,min.size,min.size2,max.size,max.size2,bag.above.max,bag.above.max2,bag.below.min,mode,gear.restriction,other,Comments,imputed
,1996,1,MA,9999,1,9999,Scup,01/01/1996,02/29/1996,9999,9999,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,0,0,0,,0
,1996,2,MA,9999,1,9999,Scup,03/01/1996,04/30/1996,9999,9999,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,0,0,0,,0
,1996,3,MA,9999,1,9999,Scup,05/01/1996,06/30/1996,9999,9999,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,0,0,0,,0
,1996,4,MA,9999,1,9999,Scup,07/01/1996,08/31/1996,9999,9999,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,0,0,0,,0
,1996,5,MA,9999,1,9999,Scup,09/01/1996,10/31/1996,9999,9999,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,0,0,0,,0
,1996,6,MA,9999,1,9999,Scup,11/01/1996,12/31/1996,9999,9999,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,0,0,0,,0
,1997,1,MA,9999,1,9999,Scup,01/01/1997,02/28/1997,9999,9999,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,0,0,0,,2
,1997,2,MA,9999,1,9999,Scup,03/01/1997,04/30/1997,9999,9999,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,0,0,0,,2
,1997,3,MA,9999,1,9999,Scup,05/01/1997,06/30/1997,9999,9999,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,0,0,0,,2
,1997,4,MA,9999,1,9999,Scup,07/01/1997,08/31/1997,9999,9999,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,0,0,0,,2
,1997,5,MA,9999,1,9999,Scup,09/01/1997,10/31/1997,9999,9999,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,0,0,0,,2
,1997,6,MA,9999,1,9999,Scup,11/01/1997,12/31/1997,9999,9999,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,0,0,0,,2
,1998,1,MA,9999,1,9999,Scup,01/01/1998,02/28/1998,9999,9999,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,0,0,0,,2
,1998,2,MA,9999,1,9999,Scup,03/01/1998,04/30/1998,9999,9999,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,0,0,0,,2
,1998,3,MA,9999,1,9999,Scup,05/01/1998,06/30/1998,9999,9999,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,0,0,0,,2
,1998,4,MA,9999,1,9999,Scup,07/01/1998,08/31/1998,9999,9999,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,0,0,0,,2
,1998,5,MA,9999,1,9999,Scup,09/01/1998,10/31/1998,9999,9999,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,0,0,0,,2
,1998,6,MA,9999,1,9999,Scup,11/01/1998,12/31/1998,9999,9999,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,0,0,0,,2
,1999,1,MA,9999,1,9999,Scup,01/01/1999,02/28/1999,9999,9999,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,0,0,0,,2
,1999,2,MA,9999,1,9999,Scup,03/01/1999,04/30/1999,9999,9999,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,0,0,0,,2
,1999,3,MA,9999,1,9999,Scup,05/01/1999,06/30/1999,9999,9999,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,0,0,0,,2
,1999,4,MA,9999,1,9999,Scup,07/01/1999,08/31/1999,9999,9999,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,0,0,0,,2
,1999,5,MA,9999,1,9999,Scup,09/01/1999,10/31/1999,9999,9999,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,0,0,0,,2
,1999,6,MA,9999,1,9999,Scup,11/01/1999,12/31/1999,9999,9999,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,0,0,0,,2
,2000,1,MA,9999,1,9999,Scup,01/01/2000,02/29/2000,9999,50,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,1,0,0,,0
,2000,2,MA,9999,1,9999,Scup,03/01/2000,04/30/2000,9999,50,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,1,0,0,,0
,2000,3,MA,9999,1,9999,Scup,05/01/2000,06/30/2000,9999,50,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,1,0,0,,0
,2000,4,MA,9999,1,9999,Scup,07/01/2000,08/31/2000,9999,50,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,1,0,0,,0
,2000,5,MA,9999,1,9999,Scup,09/01/2000,10/31/2000,9999,50,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,1,0,0,,0
,2000,6,MA,9999,1,9999,Scup,11/01/2000,12/31/2000,9999,50,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,1,0,0,,0
,2001,1,MA,9999,1,9999,Scup,01/01/2001,02/28/2001,9999,25,9999,9999,100,9999,9999,9,9999,9999,9999,9999,9999,9999,4,0,0,,0
,2001,2,MA,9999,1,9999,Scup,03/01/2001,04/30/2001,9999,25,9999,9999,100,9999,9999,9,9999,9999,9999,9999,9999,9999,4,0,0,,0
,2001,3,MA,9999,1,9999,Scup,05/01/2001,06/30/2001,9999,25,9999,9999,100,9999,9999,9,9999,9999,9999,9999,9999,9999,4,0,0,,0
,2001,4,MA,9999,1,9999,Scup,07/01/2001,08/31/2001,9999,25,9999,9999,100,9999,9999,9,9999,9999,9999,9999,9999,9999,4,0,0,,0
,2001,5,MA,9999,1,9999,Scup,09/01/2001,10/31/2001,9999,25,9999,9999,100,9999,9999,9,9999,9999,9999,9999,9999,9999,4,0,0,,0
,2001,6,MA,9999,1,9999,Scup,11/01/2001,12/31/2001,9999,25,9999,9999,100,9999,9999,9,9999,9999,9999,9999,9999,9999,4,0,0,,0
,2001,1,MA,9999,1,9999,Scup,01/01/2001,02/28/2001,9999,25,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,3,0,0,,0
,2001,2,MA,9999,1,9999,Scup,03/01/2001,04/30/2001,9999,25,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,3,0,0,,0
,2001,3,MA,9999,1,9999,Scup,05/01/2001,06/30/2001,9999,25,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,3,0,0,,0
,2001,4,MA,9999,1,9999,Scup,07/01/2001,08/31/2001,9999,25,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,3,0,0,,0
,2001,5,MA,9999,1,9999,Scup,09/01/2001,10/31/2001,9999,25,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,3,0,0,,0
,2001,6,MA,9999,1,9999,Scup,11/01/2001,12/31/2001,9999,25,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,3,0,0,,0
,2002,1,MA,9999,1,9999,Scup,01/01/2002,02/28/2002,9999,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,0,0,,0
,2002,2,MA,9999,1,9999,Scup,03/01/2002,04/30/2002,9999,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,0,0,,0
,2002,3,MA,9999,1,9999,Scup,05/01/2002,05/09/2002,9999,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,0,0,,0
,2002,3,MA,9999,1,9999,Scup,05/10/2002,06/30/2002,9999,50,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,4,0,0,,0
,2002,4,MA,9999,1,9999,Scup,07/01/2002,08/31/2002,9999,50,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,4,0,0,,0
,2002,5,MA,9999,1,9999,Scup,09/01/2002,10/31/2002,9999,50,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,4,0,0,,0
,2002,6,MA,9999,1,9999,Scup,11/01/2002,12/31/2002,9999,50,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,4,0,0,,0
,2002,3,MA,9999,1,9999,Scup,05/10/2002,06/30/2002,9999,100,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,3,0,0,,0
,2002,4,MA,9999,1,9999,Scup,07/01/2002,08/31/2002,9999,100,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,3,0,0,,0
,2002,5,MA,9999,1,9999,Scup,09/01/2002,10/31/2002,9999,100,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,3,0,0,,0
,2002,6,MA,9999,1,9999,Scup,11/01/2002,12/31/2002,9999,100,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,3,0,0,,0
,2003,1,MA,9999,1,9999,Scup,01/01/2003,02/28/2003,9999,50,9999,9999,100,9999,9999,9,9999,9999,9999,9999,9999,9999,4,0,0,,0
,2003,2,MA,9999,1,9999,Scup,03/01/2003,04/30/2003,9999,50,9999,9999,100,9999,9999,9,9999,9999,9999,9999,9999,9999,4,0,0,,0
,2003,3,MA,9999,1,9999,Scup,05/01/2003,06/30/2003,9999,50,9999,9999,100,9999,9999,9,9999,9999,9999,9999,9999,9999,4,0,0,,0
,2003,4,MA,9999,1,9999,Scup,07/01/2003,08/31/2003,9999,50,9999,9999,100,9999,9999,9,9999,9999,9999,9999,9999,9999,4,0,0,,0
,2003,5,MA,9999,1,9999,Scup,09/01/2003,10/06/2003,9999,50,9999,9999,100,9999,9999,9,9999,9999,9999,9999,9999,9999,4,0,0,,0
,2003,1,MA,9999,1,9999,Scup,01/01/2003,02/28/2003,9999,100,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,3,0,0,,0
,2003,2,MA,9999,1,9999,Scup,03/01/2003,04/30/2003,9999,100,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,3,0,0,,0
,2003,3,MA,9999,1,9999,Scup,05/01/2003,06/30/2003,9999,100,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,3,0,0,,0
,2003,4,MA,9999,1,9999,Scup,07/01/2003,08/31/2003,9999,100,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,3,0,0,,0
,2003,5,MA,9999,1,9999,Scup,09/01/2003,10/06/2003,9999,100,9999,9999,9999,9999,9999,9,9999,9999,9999,9999,9999,9999,3,0,0,,0
,2003,5,MA,9999,1,9999,Scup,10/07/2003,10/31/2003,9999,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,0,0,,0
,2003,6,MA,9999,1,9999,Scup,11/01/2003,12/31/2003,9999,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,0,0,,0
,2004,1,MA,9999,1,9999,Scup,01/01/2004,02/29/2004,9999,40,9999,9999,80,9999,9999,10,9999,9999,9999,9999,9999,9999,0,0,0,,0
,2004,2,MA,9999,1,9999,Scup,03/01/2004,04/30/2004,9999,40,9999,9999,80,9999,9999,10,9999,9999,9999,9999,9999,9999,0,0,0,,0
,2004,3,MA,9999,1,9999,Scup,05/01/2004,06/30/2004,9999,40,9999,9999,80,9999,9999,10,9999,9999,9999,9999,9999,9999,0,0,0,,0
