ID,year,wave,state,area,juristiction,depth.allowed,species,start.date,end.date,daily.closures,bag.limit,agg.bag.limit,agg.bag.limit.wt,boat.limit,poss.limit,bonus.limit,min.size,min.size2,max.size,max.size2,bag.above.max,bag.above.max.size2,bag.below.min,mode,gear.restriction,other,Comments,imputed
,1996,1,MA,9999,1,9999,Summer Flounder,01/01/96,02/29/96,,9999,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,0
,1996,2,MA,9999,1,9999,Summer Flounder,03/01/96,04/30/96,,9999,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,0
,1996,3,MA,9999,1,9999,Summer Flounder,05/01/96,06/30/96,,9999,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,0
,1996,4,MA,9999,1,9999,Summer Flounder,07/01/96,08/31/96,,9999,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,0
,1996,5,MA,9999,1,9999,Summer Flounder,09/01/96,10/31/96,,9999,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,0
,1996,6,MA,9999,1,9999,Summer Flounder,11/01/96,12/31/96,,9999,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,0
,1997,1,MA,9999,1,9999,Summer Flounder,01/01/97,02/28/97,,10,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,0
,1997,2,MA,9999,1,9999,Summer Flounder,03/01/97,04/30/97,,10,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,0
,1997,3,MA,9999,1,9999,Summer Flounder,05/01/97,06/30/97,,10,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,0
,1997,4,MA,9999,1,9999,Summer Flounder,07/01/97,08/31/97,,10,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,0
,1997,5,MA,9999,1,9999,Summer Flounder,09/01/97,10/31/97,,10,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,0
,1997,6,MA,9999,1,9999,Summer Flounder,11/01/97,12/31/97,,10,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,0
,1998,1,MA,9999,1,9999,Summer Flounder,01/01/98,02/28/98,,8,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,0
,1998,2,MA,9999,1,9999,Summer Flounder,03/01/98,04/30/98,,8,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,0
,1998,3,MA,9999,1,9999,Summer Flounder,05/01/98,06/30/98,,8,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,0
,1998,4,MA,9999,1,9999,Summer Flounder,07/01/98,08/31/98,,8,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,0
,1998,5,MA,9999,1,9999,Summer Flounder,09/01/98,10/31/98,,8,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,0
,1998,6,MA,9999,1,9999,Summer Flounder,11/01/98,12/31/98,,8,9999,9999,,9999,,0,,9999,,9999,,9999,0,0,0,,0
,1999,1,MA,9999,1,9999,Summer Flounder,01/01/99,02/28/99,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,1999,2,MA,9999,1,9999,Summer Flounder,03/01/99,04/30/99,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,1999,3,MA,9999,1,9999,Summer Flounder,05/01/99,05/28/99,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,1999,3,MA,9999,1,9999,Summer Flounder,05/29/99,06/30/99,,8,9999,9999,,9999,,15,,9999,,9999,,9999,0,0,0,,0
,1999,4,MA,9999,1,9999,Summer Flounder,07/01/99,08/31/99,,8,9999,9999,,9999,,15,,9999,,9999,,9999,0,0,0,,0
,1999,5,MA,9999,1,9999,Summer Flounder,09/01/99,09/11/99,,8,9999,9999,,9999,,15,,9999,,9999,,9999,0,0,0,,0
,1999,5,MA,9999,1,9999,Summer Flounder,09/12/99,10/31/99,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,1999,6,MA,9999,1,9999,Summer Flounder,11/01/99,12/31/99,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2000,1,MA,9999,1,9999,Summer Flounder,01/01/00,02/29/00,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2000,2,MA,9999,1,9999,Summer Flounder,03/01/00,04/30/00,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2000,3,MA,9999,1,9999,Summer Flounder,05/01/00,05/09/00,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2000,3,MA,9999,1,9999,Summer Flounder,05/10/00,06/30/00,,8,9999,9999,,9999,,15.5,,9999,,9999,,9999,0,0,0,,0
,2000,4,MA,9999,1,9999,Summer Flounder,07/01/00,08/31/00,,8,9999,9999,,9999,,15.5,,9999,,9999,,9999,0,0,0,,0
,2000,5,MA,9999,1,9999,Summer Flounder,09/01/00,10/02/00,,8,9999,9999,,9999,,15.5,,9999,,9999,,9999,0,0,0,,0
,2000,5,MA,9999,1,9999,Summer Flounder,10/03/00,10/31/00,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2000,6,MA,9999,1,9999,Summer Flounder,11/01/00,12/31/00,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2001,1,MA,9999,1,9999,Summer Flounder,01/01/01,02/28/01,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2001,2,MA,9999,1,9999,Summer Flounder,03/01/01,04/30/01,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2001,3,MA,9999,1,9999,Summer Flounder,05/01/01,05/25/01,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2001,3,MA,9999,1,9999,Summer Flounder,05/26/01,06/30/01,,7,9999,9999,,9999,,16.5,,9999,,9999,,9999,0,0,0,,0
,2001,4,MA,9999,1,9999,Summer Flounder,07/01/01,08/31/01,,7,9999,9999,,9999,,16.5,,9999,,9999,,9999,0,0,0,,0
,2001,5,MA,9999,1,9999,Summer Flounder,09/01/01,09/05/01,,7,9999,9999,,9999,,16.5,,9999,,9999,,9999,0,0,0,,0
,2001,5,MA,9999,1,9999,Summer Flounder,09/06/01,10/31/01,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2001,6,MA,9999,1,9999,Summer Flounder,11/01/01,12/31/01,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2002,1,MA,9999,1,9999,Summer Flounder,01/01/02,02/28/02,,7,9999,9999,,9999,,16.5,,9999,,9999,,9999,0,0,0,,0
,2002,2,MA,9999,1,9999,Summer Flounder,03/01/02,04/30/02,,7,9999,9999,,9999,,16.5,,9999,,9999,,9999,0,0,0,,0
,2002,3,MA,9999,1,9999,Summer Flounder,05/01/02,06/30/02,,7,9999,9999,,9999,,16.5,,9999,,9999,,9999,0,0,0,,0
,2002,4,MA,9999,1,9999,Summer Flounder,07/01/02,08/31/02,,7,9999,9999,,9999,,16.5,,9999,,9999,,9999,0,0,0,,0
,2002,5,MA,9999,1,9999,Summer Flounder,09/01/02,10/31/02,,7,9999,9999,,9999,,16.5,,9999,,9999,,9999,0,0,0,,0
,2002,6,MA,9999,1,9999,Summer Flounder,11/01/02,12/31/02,,7,9999,9999,,9999,,16.5,,9999,,9999,,9999,0,0,0,,0
,2003,1,MA,9999,1,9999,Summer Flounder,01/01/03,02/28/03,,7,9999,9999,,9999,,16.5,,9999,,9999,,9999,0,0,0,,0
,2003,2,MA,9999,1,9999,Summer Flounder,03/01/03,04/30/03,,7,9999,9999,,9999,,16.5,,9999,,9999,,9999,0,0,0,,0
,2003,3,MA,9999,1,9999,Summer Flounder,05/01/03,06/30/03,,7,9999,9999,,9999,,16.5,,9999,,9999,,9999,0,0,0,,0
,2003,4,MA,9999,1,9999,Summer Flounder,07/01/03,08/31/03,,7,9999,9999,,9999,,16.5,,9999,,9999,,9999,0,0,0,,0
,2003,5,MA,9999,1,9999,Summer Flounder,09/01/03,10/31/03,,7,9999,9999,,9999,,16.5,,9999,,9999,,9999,0,0,0,,0
,2003,6,MA,9999,1,9999,Summer Flounder,11/01/03,12/31/03,,7,9999,9999,,9999,,16.5,,9999,,9999,,9999,0,0,0,,0
,2004,1,MA,9999,1,9999,Summer Flounder,01/01/04,02/29/04,,7,9999,9999,,9999,,16.5,,9999,,9999,,9999,0,0,0,,0
,2004,2,MA,9999,1,9999,Summer Flounder,03/01/04,04/30/04,,7,9999,9999,,9999,,16.5,,9999,,9999,,9999,0,0,0,,0
,2004,3,MA,9999,1,9999,Summer Flounder,05/01/04,06/30/04,,7,9999,9999,,9999,,16.5,,9999,,9999,,9999,0,0,0,,0
,2004,4,MA,9999,1,9999,Summer Flounder,07/01/04,08/31/04,,7,9999,9999,,9999,,16.5,,9999,,9999,,9999,0,0,0,,0
,2004,5,MA,9999,1,9999,Summer Flounder,09/01/04,10/31/04,,7,9999,9999,,9999,,16.5,,9999,,9999,,9999,0,0,0,,0
,2004,6,MA,9999,1,9999,Summer Flounder,11/01/04,12/31/04,,7,9999,9999,,9999,,16.5,,9999,,9999,,9999,0,0,0,,0
,2005,1,MA,9999,1,9999,Summer Flounder,01/01/05,02/28/05,,7,9999,9999,,9999,,17,,9999,,9999,,9999,0,0,0,,0
,2005,2,MA,9999,1,9999,Summer Flounder,03/01/05,04/30/05,,7,9999,9999,,9999,,17,,9999,,9999,,9999,0,0,0,,0
,2005,3,MA,9999,1,9999,Summer Flounder,05/01/05,06/30/05,,7,9999,9999,,9999,,17,,9999,,9999,,9999,0,0,0,,0
,2005,4,MA,9999,1,9999,Summer Flounder,07/01/05,08/31/05,,7,9999,9999,,9999,,17,,9999,,9999,,9999,0,0,0,,0
,2005,5,MA,9999,1,9999,Summer Flounder,09/01/05,10/31/05,,7,9999,9999,,9999,,17,,9999,,9999,,9999,0,0,0,,0
,2005,6,MA,9999,1,9999,Summer Flounder,11/01/05,12/31/05,,7,9999,9999,,9999,,17,,9999,,9999,,9999,0,0,0,,0
,2006,1,MA,9999,1,9999,Summer Flounder,01/01/06,02/28/06,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2006,2,MA,9999,1,9999,Summer Flounder,03/01/06,04/30/06,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2006,3,MA,9999,1,9999,Summer Flounder,05/01/06,05/09/06,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2006,3,MA,9999,1,9999,Summer Flounder,05/10/06,06/30/06,,5,9999,9999,,9999,,17.5,,9999,,9999,,9999,0,0,0,,0
,2006,4,MA,9999,1,9999,Summer Flounder,07/01/06,08/15/06,,5,9999,9999,,9999,,17.5,,9999,,9999,,9999,0,0,0,,0
,2006,4,MA,9999,1,9999,Summer Flounder,08/16/06,08/31/06,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2006,5,MA,9999,1,9999,Summer Flounder,09/01/06,10/31/06,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2006,6,MA,9999,1,9999,Summer Flounder,11/01/06,12/31/06,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2007,1,MA,9999,1,9999,Summer Flounder,01/01/07,02/28/07,,7,9999,9999,,9999,,17.5,,9999,,9999,,9999,0,0,0,,0
,2007,2,MA,9999,1,9999,Summer Flounder,03/01/07,04/30/07,,7,9999,9999,,9999,,17.5,,9999,,9999,,9999,0,0,0,,0
,2007,3,MA,9999,1,9999,Summer Flounder,05/01/07,06/30/07,,7,9999,9999,,9999,,17.5,,9999,,9999,,9999,0,0,0,,0
,2007,4,MA,9999,1,9999,Summer Flounder,07/01/07,08/31/07,,7,9999,9999,,9999,,17.5,,9999,,9999,,9999,0,0,0,,0
,2007,5,MA,9999,1,9999,Summer Flounder,09/01/07,10/31/07,,7,9999,9999,,9999,,17.5,,9999,,9999,,9999,0,0,0,,0
,2007,6,MA,9999,1,9999,Summer Flounder,11/01/07,12/31/07,,7,9999,9999,,9999,,17.5,,9999,,9999,,9999,0,0,0,,0
,2008,1,MA,9999,1,9999,Summer Flounder,01/01/08,02/29/08,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2008,2,MA,9999,1,9999,Summer Flounder,03/01/08,04/30/08,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2008,3,MA,9999,1,9999,Summer Flounder,05/01/08,06/09/08,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2008,3,MA,9999,1,9999,Summer Flounder,06/10/08,06/30/08,,5,9999,9999,,9999,,17.5,,9999,,9999,,9999,0,0,0,,0
,2008,4,MA,9999,1,9999,Summer Flounder,07/01/08,08/15/08,,5,9999,9999,,9999,,17.5,,9999,,9999,,9999,0,0,0,,0
,2008,4,MA,9999,1,9999,Summer Flounder,08/16/08,08/31/08,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2008,5,MA,9999,1,9999,Summer Flounder,09/01/08,10/31/08,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2008,6,MA,9999,1,9999,Summer Flounder,11/01/08,12/31/08,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2009,1,MA,9999,1,9999,Summer Flounder,01/01/09,02/28/09,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2009,2,MA,9999,1,9999,Summer Flounder,03/01/09,04/30/09,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2009,3,MA,9999,1,9999,Summer Flounder,05/01/09,06/30/09,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2009,4,MA,9999,1,9999,Summer Flounder,07/01/09,08/13/09,,5,9999,9999,,9999,,18.5,,9999,,9999,,9999,0,0,0,,0
,2009,4,MA,9999,1,9999,Summer Flounder,08/14/09,08/31/09,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2009,5,MA,9999,1,9999,Summer Flounder,09/01/09,10/31/09,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2009,6,MA,9999,1,9999,Summer Flounder,11/01/09,12/31/09,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2010,1,MA,9999,1,9999,Summer Flounder,01/01/10,02/28/10,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2010,2,MA,9999,1,9999,Summer Flounder,03/01/10,04/30/10,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2010,3,MA,9999,1,9999,Summer Flounder,05/01/10,05/21/10,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2010,3,MA,9999,1,9999,Summer Flounder,05/22/10,06/30/10,,5,9999,9999,,9999,,18.5,,9999,,9999,,9999,0,0,0,,0
,2010,4,MA,9999,1,9999,Summer Flounder,07/01/10,08/31/10,,5,9999,9999,,9999,,18.5,,9999,,9999,,9999,0,0,0,,0
,2010,5,MA,9999,1,9999,Summer Flounder,09/01/10,09/06/10,,5,9999,9999,,9999,,18.5,,9999,,9999,,9999,0,0,0,,0
,2010,5,MA,9999,1,9999,Summer Flounder,09/07/10,10/31/10,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2010,6,MA,9999,1,9999,Summer Flounder,11/01/10,12/31/10,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2011,1,MA,9999,1,9999,Summer Flounder,01/01/11,02/28/11,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2011,2,MA,9999,1,9999,Summer Flounder,03/01/11,04/30/11,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2011,3,MA,9999,1,9999,Summer Flounder,05/01/11,05/21/11,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2011,3,MA,9999,1,9999,Summer Flounder,05/22/11,06/30/11,,5,9999,9999,,9999,,17.5,,9999,,9999,,9999,0,0,0,,0
,2011,4,MA,9999,1,9999,Summer Flounder,07/01/11,08/31/11,,5,9999,9999,,9999,,17.5,,9999,,9999,,9999,0,0,0,,0
,2011,5,MA,9999,1,9999,Summer Flounder,09/01/11,09/30/11,,5,9999,9999,,9999,,17.5,,9999,,9999,,9999,0,0,0,,0
,2011,5,MA,9999,1,9999,Summer Flounder,10/01/11,10/31/11,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2011,6,MA,9999,1,9999,Summer Flounder,11/01/11,12/31/11,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2012,1,MA,9999,1,9999,Summer Flounder,01/01/12,02/29/12,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2012,2,MA,9999,1,9999,Summer Flounder,03/01/12,04/30/12,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2012,3,MA,9999,1,9999,Summer Flounder,05/01/12,05/21/12,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2012,3,MA,9999,1,9999,Summer Flounder,05/22/12,06/30/12,,5,9999,9999,,9999,,16.5,,9999,,9999,,9999,0,0,0,,0
,2012,4,MA,9999,1,9999,Summer Flounder,07/01/12,08/31/12,,5,9999,9999,,9999,,16.5,,9999,,9999,,9999,0,0,0,,0
,2012,5,MA,9999,1,9999,Summer Flounder,09/01/12,09/30/12,,5,9999,9999,,9999,,16.5,,9999,,9999,,9999,0,0,0,,0
,2012,5,MA,9999,1,9999,Summer Flounder,10/01/12,10/31/12,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2012,6,MA,9999,1,9999,Summer Flounder,11/01/12,12/31/12,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2013,1,MA,9999,1,9999,Summer Flounder,01/01/13,02/28/13,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2013,2,MA,9999,1,9999,Summer Flounder,03/01/13,04/30/13,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2013,3,MA,9999,1,9999,Summer Flounder,05/01/13,05/21/13,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2013,3,MA,9999,1,9999,Summer Flounder,05/22/13,06/30/13,,5,9999,9999,,9999,,16,,9999,,9999,,9999,0,0,0,,0
,2013,4,MA,9999,1,9999,Summer Flounder,07/01/13,08/31/13,,5,9999,9999,,9999,,16,,9999,,9999,,9999,0,0,0,,0
,2013,5,MA,9999,1,9999,Summer Flounder,09/01/13,09/30/13,,5,9999,9999,,9999,,16,,9999,,9999,,9999,0,0,0,,0
,2013,5,MA,9999,1,9999,Summer Flounder,10/01/13,10/31/13,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2013,6,MA,9999,1,9999,Summer Flounder,11/01/13,12/31/13,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2014,1,MA,9999,1,9999,Summer Flounder,01/01/14,02/28/14,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2014,2,MA,9999,1,9999,Summer Flounder,03/01/14,04/30/14,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2014,3,MA,9999,1,9999,Summer Flounder,05/01/14,05/21/14,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2014,3,MA,9999,1,9999,Summer Flounder,05/22/14,06/30/14,,5,9999,9999,,9999,,16,,9999,,9999,,9999,0,0,0,,0
,2014,4,MA,9999,1,9999,Summer Flounder,07/01/14,08/31/14,,5,9999,9999,,9999,,16,,9999,,9999,,9999,0,0,0,,0
,2014,5,MA,9999,1,9999,Summer Flounder,09/01/14,09/30/14,,5,9999,9999,,9999,,16,,9999,,9999,,9999,0,0,0,,0
,2014,5,MA,9999,1,9999,Summer Flounder,10/01/14,10/31/14,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2014,6,MA,9999,1,9999,Summer Flounder,11/01/14,12/31/14,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2015,1,MA,9999,1,9999,Summer Flounder,01/01/15,02/28/15,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
,2015,2,MA,9999,1,9999,Summer Flounder,03/01/15,04/30/15,,0,0,0,,9999,,9999,,9999,,9999,,9999,0,0,0,,0
