ID,year,wave,state,area,juristiction,depth.allowed,species,start.date,end.date,daily.closures,bag.limit,agg.bag.limit,agg.bag.limit.wt,boat.limit,poss.limit,bonus.limit,min.size,min.size2,max.size,max.size2,bag.above.max,bag.above.max.size2,bag.below.min,mode,gear.restriction,other,comments,imputed
,1993,4,FL,,1,9999,Bluefish,07/01/93,08/31/93,9999,10,,,,,,12,,,,,,,,0,,,
,1993,5,FL,,1,9999,Bluefish,09/01/93,10/31/93,9999,10,,,,,,12,,,,,,,,0,,,
,1993,6,FL,,1,9999,Bluefish,11/01/93,12/31/93,9999,10,,,,,,12,,,,,,,,0,,,
,1994,1,FL,,1,9999,Bluefish,01/01/94,02/28/94,9999,10,,,,,,12,,,,,,,,0,,,
,1994,2,FL,,1,9999,Bluefish,03/01/94,04/30/94,9999,10,,,,,,12,,,,,,,,0,,,
,1994,3,FL,,1,9999,Bluefish,05/01/94,06/30/94,9999,10,,,,,,12,,,,,,,,0,,,
,1994,4,FL,,1,9999,Bluefish,07/01/94,08/31/94,9999,10,,,,,,12,,,,,,,,0,,,
,1994,5,FL,,1,9999,Bluefish,09/01/94,10/31/94,9999,10,,,,,,12,,,,,,,,0,,,
,1994,6,FL,,1,9999,Bluefish,11/01/94,12/31/94,9999,10,,,,,,12,,,,,,,,0,,,
,1995,1,FL,,1,9999,Bluefish,01/01/95,02/28/95,9999,10,,,,,,12,,,,,,,,0,,,
,1995,2,FL,,1,9999,Bluefish,03/01/95,04/30/95,9999,10,,,,,,12,,,,,,,,0,,,
,1995,3,FL,,1,9999,Bluefish,05/01/95,06/30/95,9999,10,,,,,,12,,,,,,,,0,,,
,1995,4,FL,,1,9999,Bluefish,07/01/95,08/31/95,9999,10,,,,,,12,,,,,,,,0,,,
,1995,5,FL,,1,9999,Bluefish,09/01/95,10/31/95,9999,10,,,,,,12,,,,,,,,0,,,
,1995,6,FL,,1,9999,Bluefish,11/01/95,12/31/95,9999,10,,,,,,12,,,,,,,,0,,,
,1996,1,FL,,1,9999,Bluefish,01/01/96,02/29/96,9999,10,,,,,,12,,,,,,,,0,,,
,1996,2,FL,,1,9999,Bluefish,03/01/96,04/30/96,9999,10,,,,,,12,,,,,,,,0,,,
,1996,3,FL,,1,9999,Bluefish,05/01/96,06/30/96,9999,10,,,,,,12,,,,,,,,0,,,
,1996,4,FL,,1,9999,Bluefish,07/01/96,08/31/96,9999,10,,,,,,12,,,,,,,,0,,,
,1996,5,FL,,1,9999,Bluefish,09/01/96,10/31/96,9999,10,,,,,,12,,,,,,,,0,,,
,1996,6,FL,,1,9999,Bluefish,11/01/96,12/31/96,9999,10,,,,,,12,,,,,,,,0,,,
,1997,1,FL,,1,9999,Bluefish,01/01/97,02/28/97,9999,10,,,,,,12,,,,,,,,0,,,
,1997,2,FL,,1,9999,Bluefish,03/01/97,04/30/97,9999,10,,,,,,12,,,,,,,,0,,,
,1997,3,FL,,1,9999,Bluefish,05/01/97,06/30/97,9999,10,,,,,,12,,,,,,,,0,,,
,1997,4,FL,,1,9999,Bluefish,07/01/97,08/31/97,9999,10,,,,,,12,,,,,,,,0,,,
,1997,5,FL,,1,9999,Bluefish,09/01/97,10/31/97,9999,10,,,,,,12,,,,,,,,0,,,
,1997,6,FL,,1,9999,Bluefish,11/01/97,12/31/97,9999,10,,,,,,12,,,,,,,,0,,,
,1998,1,FL,,1,9999,Bluefish,01/01/98,02/28/98,9999,10,,,,,,12,,,,,,,,0,,,
,1998,2,FL,,1,9999,Bluefish,03/01/98,04/30/98,9999,10,,,,,,12,,,,,,,,0,,,
,1998,3,FL,,1,9999,Bluefish,05/01/98,06/30/98,9999,10,,,,,,12,,,,,,,,0,,,
,1998,4,FL,,1,9999,Bluefish,07/01/98,08/31/98,9999,10,,,,,,12,,,,,,,,0,,,
,1998,5,FL,,1,9999,Bluefish,09/01/98,10/31/98,9999,10,,,,,,12,,,,,,,,0,,,
,1998,6,FL,,1,9999,Bluefish,11/01/98,12/31/98,9999,10,,,,,,12,,,,,,,,0,,,
,1999,1,FL,,1,9999,Bluefish,01/01/99,02/28/99,9999,10,,,,,,12,,,,,,,,0,,,
,1999,2,FL,,1,9999,Bluefish,03/01/99,04/30/99,9999,10,,,,,,12,,,,,,,,0,,,
,1999,3,FL,,1,9999,Bluefish,05/01/99,06/30/99,9999,10,,,,,,12,,,,,,,,0,,,
,1999,4,FL,,1,9999,Bluefish,07/01/99,08/31/99,9999,10,,,,,,12,,,,,,,,0,,,
,1999,5,FL,,1,9999,Bluefish,09/01/99,10/31/99,9999,10,,,,,,12,,,,,,,,0,,,
,1999,6,FL,,1,9999,Bluefish,11/01/99,12/31/99,9999,10,,,,,,12,,,,,,,,0,,,
,2000,1,FL,,1,9999,Bluefish,01/01/00,02/29/00,9999,10,,,,,,12,,,,,,,,0,,,
,2000,2,FL,,1,9999,Bluefish,03/01/00,04/30/00,9999,10,,,,,,12,,,,,,,,0,,,
,2000,3,FL,,1,9999,Bluefish,05/01/00,06/30/00,9999,10,,,,,,12,,,,,,,,0,,,
,2000,4,FL,,1,9999,Bluefish,07/01/00,08/31/00,9999,10,,,,,,12,,,,,,,,0,,,
,2000,5,FL,,1,9999,Bluefish,09/01/00,10/31/00,9999,10,,,,,,12,,,,,,,,0,,,
,2000,6,FL,,1,9999,Bluefish,11/01/00,12/31/00,9999,10,,,,,,12,,,,,,,,0,,,
,2001,1,FL,,1,9999,Bluefish,01/01/01,02/28/01,9999,10,,,,,,12,,,,,,,,0,,,
,2001,2,FL,,1,9999,Bluefish,03/01/01,04/30/01,9999,10,,,,,,12,,,,,,,,0,,,
