ID,year,wave,state,area,juristiction,depth.allowed,species,start.date,end.date,daily.closures,bag.limit,agg.bag.limit,agg.bag.limit.wt,boat.limit,poss.limit,bonus.limit,min.size,min.size2,max.size,max.size2,bag.above.max,bag.above.max.size2,bag.below.min,mode,gear.restriction,other,Comments,imputed,annual.bonus
,1996,1,NJ,9999,1,9999,Red_Drum,01/01/96,02/29/96,,,,,,,,,,,,,,,,,,,,
,1996,2,NJ,9999,1,9999,Red_Drum,03/01/96,04/30/96,,,,,,,,,,,,,,,,,,,,
,1996,3,NJ,9999,1,9999,Red_Drum,05/01/96,06/30/96,,,,,,,,,,,,,,,,,,,,
,1996,4,NJ,9999,1,9999,Red_Drum,07/01/96,08/31/96,,,,,,,,,,,,,,,,,,,,
,1996,5,NJ,9999,1,9999,Red_Drum,09/01/96,10/31/96,,,,,,,,,,,,,,,,,,,,
,1996,6,NJ,9999,1,9999,Red_Drum,11/01/96,12/31/96,,,,,,,,,,,,,,,,,,,,
,1997,1,NJ,9999,1,9999,Red_Drum,01/01/97,02/28/97,,,,,,,,,,,,,,,,,,,,
,1997,2,NJ,9999,1,9999,Red_Drum,03/01/97,04/30/97,,,,,,,,,,,,,,,,,,,,
,1997,3,NJ,9999,1,9999,Red_Drum,05/01/97,06/30/97,,,,,,,,,,,,,,,,,,,,
,1997,4,NJ,9999,1,9999,Red_Drum,07/01/97,08/31/97,,,,,,,,,,,,,,,,,,,,
,1997,5,NJ,9999,1,9999,Red_Drum,09/01/97,10/31/97,,,,,,,,,,,,,,,,,,,,
,1997,6,NJ,9999,1,9999,Red_Drum,11/01/97,12/31/97,,,,,,,,,,,,,,,,,,,,
,1998,1,NJ,9999,1,9999,Red_Drum,01/01/98,02/28/98,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,1998,2,NJ,9999,1,9999,Red_Drum,03/01/98,04/30/98,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,1998,3,NJ,9999,1,9999,Red_Drum,05/01/98,06/30/98,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,1998,4,NJ,9999,1,9999,Red_Drum,07/01/98,08/31/98,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,1998,5,NJ,9999,1,9999,Red_Drum,09/01/98,10/31/98,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,1998,6,NJ,9999,1,9999,Red_Drum,11/01/98,12/31/98,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,1999,1,NJ,9999,1,9999,Red_Drum,01/01/99,02/28/99,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,1999,2,NJ,9999,1,9999,Red_Drum,03/01/99,04/30/99,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,1999,3,NJ,9999,1,9999,Red_Drum,05/01/99,06/30/99,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,1999,4,NJ,9999,1,9999,Red_Drum,07/01/99,08/31/99,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,1999,5,NJ,9999,1,9999,Red_Drum,09/01/99,10/31/99,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,1999,6,NJ,9999,1,9999,Red_Drum,11/01/99,12/31/99,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,2000,1,NJ,9999,1,9999,Red_Drum,01/01/00,02/29/00,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,2000,2,NJ,9999,1,9999,Red_Drum,03/01/00,04/30/00,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,2000,3,NJ,9999,1,9999,Red_Drum,05/01/00,06/30/00,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,2000,4,NJ,9999,1,9999,Red_Drum,07/01/00,08/31/00,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,2000,5,NJ,9999,1,9999,Red_Drum,09/01/00,10/31/00,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,2000,6,NJ,9999,1,9999,Red_Drum,11/01/00,12/31/00,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,2001,1,NJ,9999,1,9999,Red_Drum,01/01/01,02/28/01,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,2001,2,NJ,9999,1,9999,Red_Drum,03/01/01,04/30/01,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,2001,3,NJ,9999,1,9999,Red_Drum,05/01/01,06/30/01,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,2001,4,NJ,9999,1,9999,Red_Drum,07/01/01,08/31/01,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,2001,5,NJ,9999,1,9999,Red_Drum,09/01/01,10/31/01,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,2001,6,NJ,9999,1,9999,Red_Drum,11/01/01,12/31/01,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,2002,1,NJ,9999,1,9999,Red_Drum,01/01/02,02/28/02,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,2002,2,NJ,9999,1,9999,Red_Drum,03/01/02,04/30/02,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,2002,3,NJ,9999,1,9999,Red_Drum,05/01/02,06/30/02,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,2002,4,NJ,9999,1,9999,Red_Drum,07/01/02,08/31/02,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,2002,5,NJ,9999,1,9999,Red_Drum,09/01/02,10/31/02,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,2002,6,NJ,9999,1,9999,Red_Drum,11/01/02,12/31/02,,5,9999,9999,,9999,,18,,27,,1,,0,0,0,0,,0,
,2003,1,NJ,9999,1,9999,Red_Drum,01/01/03,02/28/03,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2003,2,NJ,9999,1,9999,Red_Drum,03/01/03,04/30/03,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2003,3,NJ,9999,1,9999,Red_Drum,05/01/03,06/30/03,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2003,4,NJ,9999,1,9999,Red_Drum,07/01/03,08/31/03,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2003,5,NJ,9999,1,9999,Red_Drum,09/01/03,10/31/03,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2003,6,NJ,9999,1,9999,Red_Drum,11/01/03,12/31/03,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2004,1,NJ,9999,1,9999,Red_Drum,01/01/04,02/29/04,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2004,2,NJ,9999,1,9999,Red_Drum,03/01/04,04/30/04,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2004,3,NJ,9999,1,9999,Red_Drum,05/01/04,06/30/04,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2004,4,NJ,9999,1,9999,Red_Drum,07/01/04,08/31/04,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2004,5,NJ,9999,1,9999,Red_Drum,09/01/04,10/31/04,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2004,6,NJ,9999,1,9999,Red_Drum,11/01/04,12/31/04,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2005,1,NJ,9999,1,9999,Red_Drum,01/01/05,02/28/05,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2005,2,NJ,9999,1,9999,Red_Drum,03/01/05,04/30/05,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2005,3,NJ,9999,1,9999,Red_Drum,05/01/05,06/30/05,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2005,4,NJ,9999,1,9999,Red_Drum,07/01/05,08/31/05,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2005,5,NJ,9999,1,9999,Red_Drum,09/01/05,10/31/05,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
,2005,6,NJ,9999,1,9999,Red_Drum,11/01/05,12/31/05,,1,9999,9999,,9999,,18,,27,,0,,0,0,0,0,,0,
